date,Total
2011-08,10940
2011-09,23419
2011-10,23957
2012-01,24005
2012-02,24015
2012-03,242484
2012-04,430420
2012-05,551506
2012-06,723427
2012-07,927019
2012-08,1073130
2012-09,1276647
2012-10,1389682
2012-11,1440417
2012-12,1445728
2013-01,1460681
2013-02,1626081
2013-03,1754393
2013-04,1787373
2013-05,2050729
2013-06,2360907
2013-07,2626368
2013-08,2919767
2013-09,3102525
2013-10,3381413
2013-11,3712322
2013-12,3937877
2014-01,4311627
2014-02,4760875
2014-03,5160642
2014-04,5563809
2014-05,5937990
2014-06,6634041
2014-07,6983748
2014-08,7310642
2014-09,7645075