date,dannykath,RichRico,Luis36995,ediyes,Rub21
2014-08-19,2133,413,2372,3662,3134
2014-08-20,791,667,4190,3482,3092
2014-08-21,831,490,3954,4279,8272
2014-08-22,401,345,5056,5012,8265
2014-08-23,705,562,446,3780,10093
2014-08-24,732,157,798,521,0
2014-08-25,0,251,2217,1974,245
2014-08-26,1087,197,2430,5669,1633
2014-08-27,1584,1211,2509,2691,9230
2014-08-28,2722,2096,3414,7673,4717
2014-08-29,2846,2104,2924,5302,7108
2014-08-30,1798,405,735,875,22
2014-08-31,1420,0,0,0,0
2014-09-01,939,778,0,4266,16
2014-09-02,4475,1865,0,4656,5008
2014-09-03,2762,1646,0,6136,9152
2014-09-04,2272,1858,0,5175,2372
2014-09-05,1361,2735,0,8484,3790
2014-09-06,2171,2717,0,2458,2894
2014-09-07,0,226,0,0,324
2014-09-08,1716,577,4898,4456,6465
2014-09-09,4078,5328,2413,9890,6838
2014-09-10,2375,6990,4325,6411,3158
2014-09-11,2369,6470,669,7349,3170
2014-09-12,2029,4480,2486,7340,0
2014-09-13,0,2101,528,3993,0
2014-09-14,1108,0,0,0,0
2014-09-15,772,1976,2610,2899,1
2014-09-16,1572,2929,2494,12990,367
2014-09-17,3809,3498,1709,6821,539
2014-09-18,2349,369,223,646,478
2014-09-19,98,440,375,327,2597
2014-09-20,48,1187,0,1031,3542
2014-09-21,27,0,0,1,401
2014-09-22,398,1621,539,2188,9086
2014-09-23,3094,2582,2359,6965,5809
2014-09-24,1021,1954,3554,2297,4076
2014-09-25,4000,2874,2219,7103,444
2014-09-26,4049,792,2288,5767,0
2014-09-27,662,381,1185,1455,0