date,team
2011-08,10940
2011-09,12479
2011-10,538
2012-01,48
2012-02,10
2012-03,218469
2012-04,187936
2012-05,121086
2012-06,171921
2012-07,203592
2012-08,146111
2012-09,203517
2012-10,113035
2012-11,50735
2012-12,5311
2013-01,14953
2013-02,165400
2013-03,128312
2013-04,32980
2013-05,263356
2013-06,310178
2013-07,265461
2013-08,293399
2013-09,182758
2013-10,278888
2013-11,330909
2013-12,225555
2014-01,373750
2014-02,449248
2014-03,399767
2014-04,403167
2014-05,374181
2014-06,696051
2014-07,349707
2014-08,326894
2014-09,334433